"model","scenario","ensemble","year","variable","value"
"ACCESS-CM2","ssp126","r1i1p1f1",1940,"global_tas",0.19124108328532
"ACCESS-CM2","ssp126","r1i1p1f1",1940,"sst",0.159619299019607
"ACCESS-CM2","ssp126","r1i1p1f1",1940,"land_tas",0.0923005882352754
"ACCESS-CM2","ssp126","r1i1p1f1",1941,"global_tas",0.333723384220832
"ACCESS-CM2","ssp126","r1i1p1f1",1941,"sst",0.298212715686276
"ACCESS-CM2","ssp126","r1i1p1f1",1941,"land_tas",0.283280588235243
"ACCESS-CM2","ssp126","r1i1p1f1",1942,"global_tas",0.239883305129752
"ACCESS-CM2","ssp126","r1i1p1f1",1942,"sst",0.187696965686275
"ACCESS-CM2","ssp126","r1i1p1f1",1942,"land_tas",0.283220588235281
"ACCESS-CM2","ssp126","r1i1p1f1",1943,"global_tas",0.179314426293217
"ACCESS-CM2","ssp126","r1i1p1f1",1943,"sst",0.141250049019607
"ACCESS-CM2","ssp126","r1i1p1f1",1943,"land_tas",0.268880588235277
"ACCESS-CM2","ssp126","r1i1p1f1",1944,"global_tas",0.270616893923375
"ACCESS-CM2","ssp126","r1i1p1f1",1944,"sst",0.190898465686274
"ACCESS-CM2","ssp126","r1i1p1f1",1944,"land_tas",0.365240588235281
"ACCESS-CM2","ssp126","r1i1p1f1",1945,"global_tas",0.324759317233656
"ACCESS-CM2","ssp126","r1i1p1f1",1945,"sst",0.209245215686274
"ACCESS-CM2","ssp126","r1i1p1f1",1945,"land_tas",0.406640588235291
"ACCESS-CM2","ssp126","r1i1p1f1",1946,"global_tas",0.226793127342773
"ACCESS-CM2","ssp126","r1i1p1f1",1946,"sst",0.164172132352942
"ACCESS-CM2","ssp126","r1i1p1f1",1946,"land_tas",0.264360588235263
"ACCESS-CM2","ssp126","r1i1p1f1",1947,"global_tas",0.109986099401794
"ACCESS-CM2","ssp126","r1i1p1f1",1947,"sst",0.0500651323529412
"ACCESS-CM2","ssp126","r1i1p1f1",1947,"land_tas",0.142290588235255
"ACCESS-CM2","ssp126","r1i1p1f1",1948,"global_tas",0.11158769334196
"ACCESS-CM2","ssp126","r1i1p1f1",1948,"sst",0.13018188235294
"ACCESS-CM2","ssp126","r1i1p1f1",1948,"land_tas",0.164640588235272
"ACCESS-CM2","ssp126","r1i1p1f1",1949,"global_tas",0.204513364543743
"ACCESS-CM2","ssp126","r1i1p1f1",1949,"sst",0.145945549019608
"ACCESS-CM2","ssp126","r1i1p1f1",1949,"land_tas",0.413770588235252
"ACCESS-CM2","ssp126","r1i1p1f1",1950,"global_tas",0.0222143124502168
"ACCESS-CM2","ssp126","r1i1p1f1",1950,"sst",0.0663112990196063
"ACCESS-CM2","ssp126","r1i1p1f1",1950,"land_tas",-0.0669994117647548
"ACCESS-CM2","ssp126","r1i1p1f1",1951,"global_tas",0.129753362419535
"ACCESS-CM2","ssp126","r1i1p1f1",1951,"sst",0.15577804901961
"ACCESS-CM2","ssp126","r1i1p1f1",1951,"land_tas",0.0770405882352634
"ACCESS-CM2","ssp126","r1i1p1f1",1952,"global_tas",0.183600701864577
"ACCESS-CM2","ssp126","r1i1p1f1",1952,"sst",0.140403882352942
"ACCESS-CM2","ssp126","r1i1p1f1",1952,"land_tas",0.18194058823525
"ACCESS-CM2","ssp126","r1i1p1f1",1953,"global_tas",0.174187250557225
"ACCESS-CM2","ssp126","r1i1p1f1",1953,"sst",0.155339882352941
"ACCESS-CM2","ssp126","r1i1p1f1",1953,"land_tas",0.0750905882352413
"ACCESS-CM2","ssp126","r1i1p1f1",1954,"global_tas",0.103020715185266
"ACCESS-CM2","ssp126","r1i1p1f1",1954,"sst",0.071072715686274
"ACCESS-CM2","ssp126","r1i1p1f1",1954,"land_tas",0.0547005882352778
"ACCESS-CM2","ssp126","r1i1p1f1",1955,"global_tas",0.142974124281295
